Satellite,Benchmark Latitude,Benchmark Longitude,Benchmark Altitude,Predicted Latitude,Predicted Longitude,Predicted Altitude,Error
Satellite 112,-4844.4653,-2117.8494,4480.3867,-4795.296,-2110.2288,4451.848,57.359894
Satellite 113,802.8376,-5501.783,-3895.4985,843.0796,-5504.8623,-3805.9736,98.20187
Satellite 114,-5455.6206,4022.1587,508.49844,-5390.991,4138.002,540.2758,136.40535
Satellite 115,-2826.8057,-1104.4452,-6494.257,-2844.2434,-1128.544,-6498.1694,30.002222
Satellite 116,-3994.6235,-3641.8416,4348.3003,-3835.0383,-3628.8037,4295.8496,168.48886
Satellite 117,4933.104,3153.7112,-3688.7588,4963.7783,3156.8196,-3632.2388,64.38236
Satellite 118,-423.33484,1071.8817,6757.037,-425.76486,1054.3303,6748.2974,19.757013
Satellite 119,-2212.5906,6083.419,2430.2803,-2063.729,6065.42,2452.2913,151.55269
Satellite 120,24.386211,-1024.6774,-6432.902,176.98672,-926.2508,-6452.9673,182.69463
Satellite 121,2488.0063,5946.803,-2232.5889,2458.121,5948.78,-2237.0833,30.285883
Satellite 122,15740.922,-39092.867,-176.38216,15544.861,-39282.93,-186.72627,273.25903
Satellite 123,-4695.479,-2554.7678,4376.726,-4753.344,-2618.4644,4423.7793,98.079765
Satellite 124,-3200.8115,-2645.836,5440.711,-3184.6501,-2569.2031,5433.0024,78.69688
Satellite 125,-1870.2957,1695.6632,-6484.5728,-1927.4069,1703.9652,-6457.4644,63.761105
Satellite 126,3346.2322,-2804.7917,6160.977,3341.4734,-2810.0227,6188.6143,28.527603
Satellite 127,2141.3325,-3872.408,-5327.0254,1955.9952,-3905.507,-5358.8374,190.93837
Satellite 128,3826.9517,-5055.218,-2823.2258,3776.1035,-5177.082,-2808.444,132.87186
Satellite 129,33802.02,-25130.18,-3025.0398,33760.387,-25316.438,-3000.968,192.36609
Satellite 130,-5592.016,-27226.877,-2633.3464,-5614.791,-27575.281,-2569.3958,354.95624
Satellite 131,-4103.613,3448.4712,4394.214,-4161.9443,3432.2102,4408.952,62.323395
Satellite 132,4361.4204,4000.7673,3614.835,4421.5073,3892.5566,3514.253,159.48898
Satellite 133,354.75854,-1817.2675,6467.691,185.05896,-1758.0789,6463.26,179.78008
